epoch,train_loss,eval_loss,eval_top1,eval_event_AP
0,0.4859851063461097,1.1224085913812831,53.66134038395218,0.0884927762182637
1,0.45839015661254245,1.0341796033039,58.294056788136565,0.11241161509908863
2,0.4550266843889487,0.974108260422551,58.3055523623405,0.14645599489065816
3,0.4529587977755676,1.108264481504699,58.144614323485456,0.1337403850598122
4,0.4512917614799631,1.0720913110073715,55.247729624094724,0.09655403810395796
5,0.4514028752178216,0.9736388184884757,58.28256121393264,0.12052251560731718
6,0.45095822627294785,1.0053227932538942,58.294056788136565,0.15727580153973658
7,0.4508895396214803,1.0670830805228488,58.294056788136565,0.11786686666057376
8,0.4507183420720174,0.9706770145340834,58.25957006552477,0.11846710463425443
9,0.45096629012614653,0.9847964786608914,58.07564087826187,0.12493269541506208
10,0.4508993968113402,1.0647719756311789,58.271065639728704,0.11964560748156859
11,0.4517763746351116,0.9826151717050361,58.294056788136565,0.12642405153819497
12,0.45144809312672485,1.003844610561323,58.294056788136565,0.12944473283073957
